id,row_index,col_index,P_2001mean,P_2002mean,P_2003mean,P_2004mean,P_2005mean,P_2006mean,P_2007mean,P_2008mean,P_2009mean,P_2010mean,P_2011mean,P_2012mean,P_2013mean,P_2014mean,P_2015mean,P_2016mean,P_2017mean,P_2018mean,P_2019mean,P_2020mean
1813,52,16,1176.840128,1446.82783,1320.913915,1462.877021,1375.901617,1641.815532,1142.815532,1578.778638,1359.877021,1292.913915,1182.790936,1217.741745,1026.82783,1356.840128,1712.877021,924.9262127,1142.901617,1414.815532,1359.864723,1171.790936
1814,53,16,1202.218111,1479.080601,1353.19776,1498.053468,1402.252025,1680.86108,1169.216877,1617.849364,1385.27669,1320.250791,1201.379052,1247.049154,1051.23106,1388.116982,1752.90671,950.3469853,1172.189745,1455.858613,1401.869095,1195.267442
1815,54,16,1239.498561,1526.715324,1407.660304,1548.336417,1444.618093,1738.047238,1214.990229,1681.007016,1429.343188,1357.576614,1237.624863,1292.08308,1086.795767,1438.269514,1809.285045,985.8961216,1218.93083,1513.080689,1460.805784,1231.602562
1816,55,16,1270.245849,1568.313241,1457.354215,1593.860232,1479.750433,1786.865448,1252.819259,1736.417655,1468.244416,1389.734615,1268.953126,1331.117197,1122.143785,1481.653586,1861.401837,1019.856449,1258.962295,1566.056107,1512.662755,1263.586193
1817,56,16,1290.627488,1599.277061,1492.904103,1627.888275,1505.7255,1825.345627,1279.205707,1777.348526,1495.218635,1412.768564,1291.130763,1360.159783,1148.71974,1513.255513,1898.380761,1047.353952,1289.83427,1607.418359,1551.85604,1287.121495
1818,57,16,1307.366447,1627.524157,1524.563373,1659.544269,1530.234729,1861.690411,1303.879443,1813.709516,1519.234729,1434.363182,1310.59856,1387.438186,1173.547534,1542.491227,1931.17943,1073.965414,1318.894275,1645.089187,1587.396712,1307.911365
1819,58,16,1326.239386,1658.389011,1560.455868,1695.538636,1558.379959,1901.652055,1333.188572,1853.177461,1547.890759,1460.95412,1332.531643,1418.435572,1202.507985,1576.684765,1969.742571,1104.127404,1351.592946,1686.034829,1625.639507,1330.60536
1820,59,16,1344.257052,1682.671462,1590.216999,1726.148466,1582.827608,1938.414615,1356.745252,1887.383659,1574.864503,1487.603611,1352.435588,1443.724809,1227.849998,1608.085872,2006.435058,1131.813784,1382.111571,1724.398163,1656.767642,1351.290637
1821,60,16,1377.821864,1726.854252,1645.878543,1781.846155,1630.862349,2003.740892,1402.829961,1950.765184,1623.813766,1528.902835,1391.781378,1491.732795,1277.781378,1662.805669,2069.821864,1177.94332,1436.854252,1786.821864,1704.74899,1387.740892
1822,61,16,1403.884432,1760.309464,1694.1901,1829.19414,1668.033445,2058.550385,1441.872506,2005.558028,1663.792037,1566.064016,1423.393973,1527.983984,1320.512414,1708.347436,2124.626815,1217.876109,1485.121313,1840.676712,1741.926443,1419.348116
1823,62,16,1439.798106,1803.142584,1748.417243,1885.752298,1716.682297,2123.576638,1492.226994,2070.576638,1714.234198,1611.556883,1464.504236,1574.210367,1369.603053,1763.969144,2190.417424,1265.180823,1538.605273,1901.70409,1789.007929,1457.306783
1824,63,16,1473.836028,1847.514118,1803.021197,1942.842046,1765.039068,2187.78348,1539.779963,2132.935508,1764.264258,1657.197891,1504.784262,1620.712168,1416.766387,1821.478369,2255.467258,1314.318525,1591.139334,1961.73745,1833.8642,1496.066613
1825,64,16,1507.769,1890.58878,1856.1881,1998.856717,1811.763551,2251.958126,1587.033065,2194.262154,1812.598235,1702.787785,1544.306651,1666.685855,1466.160744,1877.440375,2320.869882,1362.22761,1644.032277,2023.165539,1878.275259,1534.791502
1826,65,16,1542.149314,1932.150963,1908.438752,2055.158075,1858.71129,2315.861633,1635.417012,2255.615161,1860.663483,1749.723242,1583.369718,1712.870286,1516.882238,1932.911603,2386.396406,1410.534367,1698.184142,2086.179815,1924.128709,1574.319748
1827,66,16,1575.627466,1972.366797,1960.736771,2112.788032,1907.590953,2377.469936,1683.653405,2315.386571,1909.631023,1799.12704,1621.671662,1759.484636,1563.851053,1989.804819,2449.181858,1461.184466,1752.618362,2147.33531,1972.692006,1615.288457
